id,lat,lon,date,borough,severity,casualties_num
345988,51.461446,-0.29820599999999997,2019-01-05 11:35:00+00:00,Richmond upon Thames,Slight,1
345991,51.428715,-0.323935,2019-01-05 15:02:00+00:00,Richmond upon Thames,Slight,1
345993,51.490922,-0.22894499999999998,2019-01-05 16:00:00+00:00,Hammersmith and Fulham,Slight,1
345997,51.432204,-0.178088,2019-01-05 17:37:00+00:00,Wandsworth,Serious,1
346005,51.532286,-0.08300199999999999,2019-01-05 19:25:00+00:00,Hackney,Serious,1
346017,51.577884,0.070127,2019-01-04 17:22:00+00:00,Redbridge,Slight,1
348370,51.511367,-0.011044,2019-02-13 17:39:00+00:00,Tower Hamlets,Slight,1
348373,51.579447,-0.072848,2019-02-12 16:00:00+00:00,Haringey,Slight,1
348377,51.499993,-0.211549,2019-02-13 19:20:00+00:00,Kensington and Chelsea,Slight,1
348392,51.537282,-0.155078,2019-02-13 21:10:00+00:00,Camden,Serious,1
348399,51.459196,-0.211144,2019-02-14 14:24:00+00:00,Wandsworth,Slight,1
348400,51.473487,-0.38795399999999997,2019-02-07 17:30:00+00:00,Hounslow,Serious,1
348401,51.433457,-0.25693499999999997,2019-02-13 06:20:00+00:00,Kingston,Slight,1
348405,51.508769,-0.009485,2019-02-14 08:03:00+00:00,Tower Hamlets,Slight,1
348411,51.595142,-0.108915,2019-02-02 17:00:00+00:00,Haringey,Serious,1
348413,51.408466,-0.307133,2019-02-14 07:23:00+00:00,Kingston,Slight,1
348414,51.516226,-0.181886,2019-01-25 07:12:00+00:00,City of Westminster,Slight,1
348420,51.583447,0.009826999999999999,2019-02-14 20:00:00+00:00,Waltham Forest,Slight,1
350745,51.464809,-0.214782,2019-03-21 06:45:00+00:00,Wandsworth,Slight,1
350749,51.528048,-0.055542999999999995,2019-03-20 18:25:00+00:00,Tower Hamlets,Slight,1
350759,51.550244,-0.118003,2019-03-21 19:21:00+00:00,Islington,Serious,1
350766,51.50495,-0.095778,2019-03-21 19:55:00+00:00,Southwark,Slight,1
350775,51.486268,-0.072401,2019-01-08 07:34:00+00:00,Southwark,Slight,1
350784,51.46168,-0.287703,2019-03-19 19:05:00+00:00,Richmond upon Thames,Slight,1
350793,51.445878,-0.146863,2019-03-22 12:30:00+00:00,Wandsworth,Slight,1
350794,51.472987,-0.055062,2019-03-22 07:34:00+00:00,Southwark,Slight,1
353129,51.515721,-0.175377,2019-04-25 19:30:00+00:00,City of Westminster,Serious,1
353147,51.519032,-0.075357,2019-04-28 20:30:00+00:00,Tower Hamlets,Slight,1
353156,51.496521,-0.18520599999999998,2019-04-28 20:52:00+00:00,Kensington and Chelsea,Slight,1
353164,51.475006,-0.182532,2019-04-29 09:24:00+00:00,Hammersmith and Fulham,Serious,2
353170,51.50016,-0.126104,2019-04-29 09:20:00+00:00,City of Westminster,Serious,1
346041,51.447151,-0.409159,2019-01-06 11:45:00+00:00,Hounslow,Slight,1
346042,51.540612,-0.301773,2019-01-07 07:57:00+00:00,Brent,Slight,1
346060,51.463896,-0.132471,2019-01-07 07:37:00+00:00,Lambeth,Slight,1
346063,51.548759,-0.191075,2019-01-07 08:10:00+00:00,Camden,Slight,1
346064,51.379761,-0.17127599999999998,2019-01-07 08:30:00+00:00,Sutton,Slight,1
346072,51.557072,-0.134484,2019-01-07 11:41:00+00:00,Islington,Slight,1
346075,51.576602,-0.144596,2019-01-07 09:12:00+00:00,Haringey,Slight,1
346086,51.539286,-0.09373899999999999,2019-01-07 17:45:00+00:00,Islington,Slight,1
348425,51.420584,-0.187223,2019-02-14 13:40:00+00:00,Merton,Slight,1
348426,51.519846,-0.056035999999999996,2019-02-14 10:20:00+00:00,Tower Hamlets,Slight,1
348430,51.468412,-0.364982,2019-02-15 05:00:00+00:00,Hounslow,Slight,1
348431,51.356536,0.08172,2019-02-15 05:00:00+00:00,Bromley,Slight,1
348443,51.571894,0.08342000000000001,2019-02-14 16:45:00+00:00,Redbridge,Serious,1
348446,51.499873,-0.126145,2019-02-14 10:40:00+00:00,City of Westminster,Slight,2
348453,51.397299,-0.11582,2019-02-14 15:50:00+00:00,Croydon,Slight,1
348470,51.54537,-0.06984699999999999,2019-02-15 10:00:00+00:00,Hackney,Serious,1
348475,51.493852,-0.215146,2019-02-14 08:45:00+00:00,Hammersmith and Fulham,Slight,1
355413,51.539806,-0.195396,2019-06-01 09:40:00+00:00,Camden,Slight,1
355417,51.527774,-0.145803,2019-06-01 13:40:00+00:00,Camden,Serious,1
355419,51.405518,-0.152449,2019-06-01 15:35:00+00:00,Merton,Slight,1
355422,51.519543,0.003668,2019-06-01 14:42:00+00:00,Newham,Slight,1
355423,51.49882,-0.059206999999999996,2019-06-01 14:09:00+00:00,Southwark,Slight,1
355433,51.459306,-0.218337,2019-06-01 18:55:00+00:00,Wandsworth,Slight,1
355437,51.473904,-0.090044,2019-06-01 15:15:00+00:00,Southwark,Slight,1
355439,51.522726,-0.171321,2019-06-01 20:45:00+00:00,City of Westminster,Slight,1
355451,51.498616,-0.106098,2019-06-02 03:00:00+00:00,Southwark,Slight,1
355459,51.557722,0.276899,2019-06-02 08:45:00+00:00,Havering,Slight,1
350799,51.510971,-0.143776,2019-03-22 13:20:00+00:00,City of Westminster,Slight,1
350805,51.526784,-0.473966,2019-03-18 08:17:00+00:00,Hillingdon,Serious,2
350809,51.493734,0.009422,2019-03-22 15:23:00+00:00,Greenwich,Serious,1
350810,51.530916,-0.134689,2019-03-22 14:50:00+00:00,Camden,Slight,1
350811,51.537686,-0.167678,2019-03-22 08:45:00+00:00,Camden,Slight,1
350821,51.475218,-0.395511,2019-03-22 19:02:00+00:00,Hounslow,Slight,1
350822,51.540907,-0.13752499999999998,2019-03-22 20:17:00+00:00,Camden,Slight,1
350825,51.51148,-0.176166,2019-03-22 19:07:00+00:00,City of Westminster,Slight,1
350836,51.514735,-0.060203,2019-03-23 00:17:00+00:00,Tower Hamlets,Slight,1
350844,51.521037,-0.155936,2019-03-23 01:30:00+00:00,City of Westminster,Slight,1
350849,51.37375,-0.096485,2019-03-22 07:00:00+00:00,Croydon,Slight,1
357793,51.575699,-0.0216,2019-07-03 17:00:00+00:00,Waltham Forest,Slight,1
357795,51.444732,-0.212616,2019-07-03 18:05:00+00:00,Wandsworth,Slight,1
357797,51.581056,-0.08486099999999999,2019-07-03 19:00:00+00:00,Haringey,Slight,1
357805,51.488916,-0.078109,2019-07-03 19:08:00+00:00,Southwark,Slight,1
357806,51.501635,-0.174571,2019-07-03 20:05:00+00:00,City of Westminster,Slight,2
357807,51.504956,-0.095604,2019-07-03 19:04:00+00:00,Southwark,Serious,1
357813,51.495999,-0.20852199999999999,2019-07-03 18:30:00+00:00,Hammersmith and Fulham,Slight,1
357821,51.577367,-0.11304399999999999,2019-07-03 19:40:00+00:00,Haringey,Slight,1
357827,51.468044,-0.144511,2019-07-03 18:46:00+00:00,Lambeth,Slight,1
357828,51.585078,-0.029060000000000002,2019-07-04 09:10:00+00:00,Waltham Forest,Slight,1
357831,51.501297,-0.050760000000000007,2019-07-02 07:35:00+00:00,Southwark,Slight,1
357832,51.507083,-0.10420499999999999,2019-07-04 08:37:00+00:00,Southwark,Slight,1
357833,51.543032,-0.13715000000000002,2019-07-04 10:52:00+00:00,Camden,Serious,1
357837,51.391034,0.090775,2019-07-03 19:30:00+00:00,Bromley,Slight,1
357842,51.549878,-0.09805599999999999,2019-07-04 18:46:00+00:00,Islington,Slight,1
360162,51.550606,-0.131085,2019-07-25 02:49:00+00:00,Camden,Slight,1
360173,51.493084,-0.18393099999999998,2019-08-06 18:00:00+00:00,Kensington and Chelsea,Slight,1
360175,51.513741,-0.12007000000000001,2019-08-06 11:18:00+00:00,City of Westminster,Serious,1
360180,51.464524,-0.014737,2019-08-06 07:50:00+00:00,Lewisham,Slight,1
360190,51.528401,-0.07142899999999999,2019-08-06 15:02:00+00:00,Tower Hamlets,Slight,1
360193,51.524584,-0.085459,2019-08-06 17:20:00+00:00,Islington,Slight,1
360194,51.467448,-0.22033799999999998,2019-08-06 16:40:00+00:00,Wandsworth,Slight,1
360208,51.480575,-0.185018,2019-08-06 18:40:00+00:00,Kensington and Chelsea,Serious,1
360209,51.414458,-0.129323,2019-08-05 18:10:00+00:00,Lambeth,Slight,1
360210,51.466724,-0.178499,2019-08-06 18:44:00+00:00,Wandsworth,Serious,2
360211,51.503267,0.021946,2019-08-06 19:00:00+00:00,Newham,Slight,1
353172,51.430083,-0.16603099999999998,2019-04-29 08:00:00+00:00,Wandsworth,Slight,1
353177,51.53556,-0.132625,2019-04-23 17:40:00+00:00,Camden,Slight,1
353178,51.502393,-0.077383,2019-04-29 10:08:00+00:00,Southwark,Slight,1
353182,51.502841,0.03978,2019-04-29 12:40:00+00:00,Newham,Slight,1
353194,51.518053,-0.16750099999999998,2019-04-29 17:40:00+00:00,City of Westminster,Serious,1
353197,51.540999,-0.13763699999999998,2019-04-29 06:25:00+00:00,Camden,Slight,1
353206,51.484403,-0.125987,2019-04-29 17:20:00+00:00,Lambeth,Slight,1
353208,51.549787,-0.11078199999999999,2019-04-29 18:55:00+00:00,Islington,Slight,1
353209,51.389112,-0.07903099999999999,2019-04-29 15:30:00+00:00,Croydon,Slight,1
353218,51.464839,-0.016911,2019-04-29 18:54:00+00:00,Lewisham,Slight,1
353221,51.472281,-0.09304899999999999,2019-04-29 21:45:00+00:00,Southwark,Slight,1
346093,51.473693,-0.18370699999999998,2019-01-08 08:40:00+00:00,Hammersmith and Fulham,Slight,1
346101,51.556454,-0.245356,2019-01-08 08:23:00+00:00,Brent,Slight,1
346103,51.501976,-0.22850199999999998,2019-01-08 09:10:00+00:00,Hammersmith and Fulham,Slight,1
346107,51.468392,-0.229242,2019-01-08 13:21:00+00:00,Wandsworth,Serious,1
346108,51.572711,-0.126052,2019-01-08 14:35:00+00:00,Islington,Slight,1
346127,51.594569,-0.169216,2019-01-08 08:55:00+00:00,Barnet,Slight,1
346129,51.570635,0.11154599999999999,2019-01-08 14:30:00+00:00,Redbridge,Slight,1
346130,51.530622,-0.176584,2019-01-08 13:40:00+00:00,City of Westminster,Serious,1
346133,51.37748,0.017504,2019-01-07 16:14:00+00:00,Bromley,Slight,1
346140,51.477892,-0.102478,2019-01-08 20:20:00+00:00,Lambeth,Slight,1
346149,51.535723,0.127089,2019-01-09 08:57:00+00:00,Barking and Dagenham,Slight,1
348478,51.463234,-0.215837,2019-02-14 19:50:00+00:00,Wandsworth,Slight,1
348486,51.49633,-0.325273,2019-02-15 16:00:00+00:00,Ealing,Slight,1
348488,51.522337,-0.105489,2019-02-15 08:55:00+00:00,Islington,Slight,1
348489,51.463628,-0.015481,2019-02-15 08:35:00+00:00,Lewisham,Slight,1
348492,51.510883,-0.143895,2019-02-15 20:58:00+00:00,City of Westminster,Slight,1
348494,51.526178,-0.083993,2019-02-15 08:09:00+00:00,Hackney,Serious,1
348498,51.418146,-0.294436,2019-02-14 08:45:00+00:00,Kingston,Slight,1
348503,51.486821,-0.179009,2019-02-15 11:50:00+00:00,Kensington and Chelsea,Slight,1
348510,51.525375,-0.087646,2019-02-14 14:17:00+00:00,Islington,Slight,1
348515,51.461622,-0.268487,2019-02-15 09:45:00+00:00,Richmond upon Thames,Slight,1
348519,51.592528,-0.106338,2019-02-04 15:05:00+00:00,Haringey,Slight,1
348520,51.504876,-0.095651,2019-02-15 19:00:00+00:00,Southwark,Serious,1
348523,51.397644,-0.043539,2019-02-15 01:30:00+00:00,Bromley,Slight,1
348525,51.531701,-0.044833,2019-02-15 11:25:00+00:00,Tower Hamlets,Slight,1
348527,51.509901,-0.34502299999999997,2019-02-06 20:25:00+00:00,Ealing,Slight,1
355468,51.402449,-0.10333099999999999,2019-06-02 12:40:00+00:00,Croydon,Slight,1
355473,51.536586,-0.32378199999999996,2019-06-02 13:00:00+00:00,Ealing,Slight,1
355478,51.571798,0.184102,2019-06-02 13:30:00+00:00,Havering,Serious,1
