geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000001,222,3657,6.07%,12964,244502,5.30%
E02000002,26,1720,1.51%,7,516,1.36%
E02000003,34,3349,1.02%,48,2222,2.16%
E02000004,35,2074,1.69%,19,862,2.20%
E02000005,55,2616,2.10%,18,714,2.52%
E02000007,41,2467,1.66%,50,2509,1.99%
E02000008,57,3310,1.72%,49,1308,3.75%
E02000009,49,2473,1.98%,10,407,2.46%
E02000010,34,2489,1.37%,12,743,1.62%
E02000011,37,1965,1.88%,59,1687,3.50%
E02000012,48,3081,1.56%,22,834,2.64%
E02000013,49,2416,2.03%,10,576,1.74%
E02000014,45,2748,1.64%,17,954,1.78%
E02000015,66,2079,3.17%,9,701,1.28%
E02000016,23,2341,0.98%,83,5064,1.64%
E02000017,32,2617,1.22%,21,752,2.79%
E02000018,48,2469,1.94%,9,418,2.15%
E02000019,57,2504,2.28%,97,2633,3.68%
E02000020,57,2613,2.18%,110,3262,3.37%
E02000021,42,2379,1.77%,68,3110,2.19%
E02000022,37,2076,1.78%,22,1389,1.58%
E02000023,53,1705,3.11%,60,1635,3.67%
E02000024,70,3279,2.13%,36,3221,1.12%
E02000025,42,2676,1.57%,8,737,1.09%
E02000026,19,2040,0.93%,11,388,2.84%
E02000027,28,2751,1.02%,20,2370,0.84%
E02000028,25,2116,1.18%,17,1091,1.56%
E02000029,37,2899,1.28%,5,1340,0.37%
E02000030,25,2591,0.96%,30,1108,2.71%
E02000031,36,2412,1.49%,34,2553,1.33%
E02000032,27,2726,0.99%,19,550,3.45%
E02000033,34,2891,1.18%,45,2439,1.85%
E02000034,52,2952,1.76%,12,897,1.34%
E02000035,46,2824,1.63%,16,1346,1.19%
E02000036,28,3233,0.87%,6,711,0.84%
E02000037,29,2851,1.02%,10,774,1.29%
E02000038,73,3736,1.95%,24,1391,1.73%
E02000039,30,2139,1.40%,17,1539,1.10%
E02000040,30,2162,1.39%,83,2770,3.00%
E02000041,16,2707,0.59%,33,2866,1.15%
E02000042,77,3922,1.96%,50,3297,1.52%
E02000043,44,2644,1.66%,7,261,2.68%
E02000044,26,2461,1.06%,13,719,1.81%
E02000045,115,3700,3.11%,11,1190,0.92%
E02000046,50,2822,1.77%,41,1895,2.16%
E02000047,29,3344,0.87%,15,1810,0.83%
E02000048,38,3291,1.15%,22,939,2.34%
E02000049,16,2313,0.69%,30,1354,2.22%
E02000050,92,3661,2.51%,46,1605,2.87%
E02000051,52,2905,1.79%,83,3216,2.58%
E02000052,163,3979,4.10%,48,1687,2.85%
E02000053,39,2889,1.35%,80,3426,2.34%
E02000054,35,2416,1.45%,39,1176,3.32%
E02000055,56,3626,1.54%,48,3773,1.27%
E02000056,89,3033,2.93%,40,1312,3.05%
