Area Codes,population
E06000047,"526,980"
E02004297,"8,099"
E02004290,"5,808"
E02004298,"10,031"
E02004299,"8,588"
E02004291,"7,143"
E02004300,"7,795"
E02004292,"7,795"
E02004301,"9,536"
E02004302,"7,780"
E02004303,"11,253"
E02004293,"9,685"
E02004304,"9,250"
E02004294,"8,380"
E02004305,"9,742"
E02004295,"7,260"
E02004320,"9,017"
E02004321,"8,641"
E02004322,"8,461"
E02004296,"8,355"
E02004306,"5,938"
E02004323,"8,072"
E02004308,"8,289"
E02004309,"6,299"
E02004307,"6,694"
E02004324,"5,649"
E02004310,"7,917"
E02004311,"9,136"
E02004312,"7,401"
E02004313,"7,748"
E02004314,"14,267"
E02004316,"6,159"
E02004325,"8,544"
E02004315,"13,131"
E02004326,"6,870"
E02004328,"7,363"
E02004327,"5,849"
E02004329,"6,397"
E02004317,"7,639"
E02004330,"5,718"
E02004331,"7,192"
E02004318,"6,728"
E02004348,"7,996"
E02004332,"7,329"
E02004319,"7,820"
E02004349,"9,358"
E02004350,"9,742"
E02004333,"6,954"
E02004334,"7,245"
E02004335,"7,020"
E02004336,"6,697"
E02004351,"7,200"
E02004337,"9,909"
E02004338,"7,085"
E02004339,"6,751"
E02004352,"7,843"
E02004353,"7,457"
E02004354,"9,102"
E02004355,"7,260"
E02004340,"10,376"
E02004341,"8,542"
E02004342,"5,797"
E02004343,"5,503"
E02004344,"7,176"
E02004345,"12,757"
E02004346,"5,179"
E02004347,"7,263"
E06000005,"106,566"
E02002559,"9,147"
E02002560,"6,158"
E02002561,"5,384"
E02002562,"5,938"
E02002563,"5,409"
E02002564,"9,701"
E02002565,"5,115"
E02002566,"6,978"
E02002567,"8,221"
E02002568,"6,012"
E02002569,"9,007"
E02002570,"7,916"
E02002571,"6,505"
E02002572,"6,369"
E02002573,"8,706"
E06000001,"93,242"
E02002483,"10,211"
E02002484,"10,364"
E02002485,"8,180"
E02002487,"5,293"
E02002488,"5,849"
E02002489,"7,593"
E02002490,"6,254"
E02002491,"6,538"
E02002492,"6,771"
E02002493,"6,641"
E02002494,"7,830"
E02006909,"11,718"
E06000002,"140,545"
E02002496,"13,147"
E02002497,"5,994"
E02002498,"9,491"
E02002499,"7,487"
E02002500,"5,920"
E02002501,"5,401"
E02002502,"9,310"
E02002503,"6,642"
E02002504,"9,811"
E02002505,"6,120"
E02002506,"5,738"
E02002507,"6,071"
E02002508,"5,086"
E02002509,"5,388"
E02002510,"5,827"
E02002512,"5,292"
E02002513,"8,948"
E02002514,"8,678"
E02006811,"10,194"
E06000057,"320,274"
E02005706,"9,534"
E02005707,"7,103"
E02005708,"10,506"
E02005702,"6,484"
E02005703,"6,757"
E02005704,"12,528"
E02005705,"7,519"
E02005720,"11,977"
E02005734,"6,122"
E02005735,"7,852"
E02005721,"5,512"
E02005737,"7,236"
E02005736,"8,172"
E02005738,"4,959"
E02005722,"7,807"
E02005723,"6,211"
E02005739,"9,159"
E02005724,"6,499"
E02005727,"6,327"
E02005740,"10,285"
E02005741,"8,502"
E02005709,"6,952"
E02005710,"9,341"
E02005711,"8,200"
E02005712,"8,362"
E02005713,"6,396"
E02005714,"5,171"
E02005716,"8,625"
E02005715,"8,770"
E02005717,"7,553"
E02005718,"6,437"
E02005719,"8,533"
E02005725,"6,816"
E02005726,"7,757"
E02005730,"13,031"
E02005729,"5,614"
E02005728,"6,999"
E02005731,"11,000"
E02005732,"9,279"
E02005733,"8,387"
E06000003,"136,718"
E02002515,"6,965"
E02002516,"5,876"
E02002517,"5,403"
E02002518,"10,581"
E02002519,"7,384"
E02002520,"12,719"
E02002521,"6,095"
E02002523,"6,617"
E02002524,"5,525"
E02002525,"8,258"
E02002526,"7,810"
E02002527,"5,058"
E02002529,"5,909"
E02002530,"6,342"
E02002532,"6,603"
E02002533,"6,183"
E02002534,"5,654"
E02006812,"7,550"
E02006910,"10,186"
E06000004,"197,213"
E02002535,"9,384"
E02002536,"9,834"
E02002537,"8,744"
E02002538,"5,798"
E02002539,"9,209"
E02002540,"6,026"
E02002541,"6,193"
E02002542,"8,334"
E02002543,"9,071"
E02002544,"8,668"
E02002545,"5,223"
E02002546,"7,594"
E02002547,"6,190"
E02002548,"13,741"
E02002549,"7,432"
E02002550,"6,224"
E02002551,"7,159"
E02002552,"7,304"
E02002553,"6,050"
E02002554,"5,288"
E02002555,"10,003"
E02002556,"7,018"
E02002557,"16,379"
E02002558,"10,347"
E08000037,"202,508"
E02001682,"8,467"
E02001683,"9,008"
E02001684,"6,688"
E02001685,"8,245"
E02001686,"6,703"
E02001688,"7,654"
E02001689,"8,778"
E02001690,"7,249"
E02001691,"9,369"
E02001692,"6,545"
E02001693,"5,665"
E02001694,"6,500"
E02001695,"6,166"
E02001696,"9,214"
E02001697,"7,432"
E02001698,"7,051"
E02001699,"6,708"
E02001700,"10,301"
E02001701,"6,287"
E02001702,"7,927"
E02001703,"5,497"
E02001704,"7,010"
E02001705,"6,967"
E02001706,"7,843"
E02001707,"8,119"
E02006841,"9,550"
E02006842,"5,565"
E08000021,"300,196"
E02001708,"12,618"
E02001709,"10,126"
E02001710,"9,698"
E02001711,"9,389"
E02001712,"9,708"
E02001713,"10,268"
E02001714,"9,513"
E02001715,"11,456"
E02001718,"5,870"
E02001719,"8,723"
E02001720,"9,640"
E02001721,"10,295"
E02001722,"9,903"
E02001723,"6,522"
E02001724,"9,176"
E02001725,"10,330"
E02001726,"12,360"
E02001727,"8,377"
E02001728,"9,474"
E02001729,"13,831"
E02001730,"19,868"
E02001731,"19,855"
E02001732,"5,193"
E02001733,"12,217"
E02001734,"8,302"
E02001735,"6,701"
E02001736,"14,311"
E02001737,"6,118"
E02006893,"10,354"
E08000022,"205,985"
E02001738,"5,974"
E02001739,"7,386"
E02001740,"6,008"
E02001741,"7,675"
E02001742,"5,929"
E02001743,"7,647"
E02001744,"7,330"
E02001745,"6,595"
E02001746,"8,250"
E02001747,"6,196"
E02001748,"8,093"
E02001749,"6,252"
E02001750,"6,778"
E02001751,"5,973"
E02001752,"6,427"
E02001753,"6,253"
E02001754,"5,931"
E02001755,"8,918"
E02001756,"9,576"
E02001757,"5,836"
E02001758,"5,483"
E02001759,"6,152"
E02001760,"7,877"
E02001761,"5,408"
E02001762,"5,755"
E02001763,"6,404"
E02001764,"7,689"
E02001765,"7,700"
E02001766,"7,543"
E02001767,"6,947"
E08000023,"150,265"
E02001768,"8,470"
E02001769,"8,121"
E02001770,"6,455"
E02001771,"6,562"
E02001772,"5,359"
E02001773,"5,365"
E02001774,"5,529"
E02001775,"5,576"
E02001776,"8,730"
E02001777,"6,172"
E02001778,"5,903"
E02001779,"5,590"
E02001780,"6,002"
E02001781,"5,419"
E02001782,"9,381"
E02001783,"7,214"
E02001784,"6,618"
E02001785,"7,802"
E02001786,"6,826"
E02001787,"5,455"
E02001788,"5,867"
E02001789,"5,746"
E02001790,"6,103"
E08000024,"277,417"
E02001791,"5,493"
E02001792,"6,813"
E02001793,"8,419"
E02001794,"8,774"
E02001795,"7,502"
E02001796,"9,598"
E02001797,"5,831"
E02001798,"8,245"
E02001799,"9,738"
E02001800,"6,927"
E02001801,"6,800"
E02001802,"6,843"
E02001803,"9,990"
E02001804,"6,523"
E02001805,"5,871"
E02001806,"8,290"
E02001807,"7,985"
E02001808,"6,049"
E02001809,"6,437"
E02001810,"8,429"
E02001811,"8,980"
E02001812,"10,106"
E02001813,"9,939"
E02001814,"6,201"
E02001815,"9,981"
E02001816,"6,831"
E02001817,"6,534"
E02001818,"9,007"
E02001819,"6,636"
E02001820,"8,973"
E02001821,"5,577"
E02001822,"7,529"
E02001823,"7,645"
E02001824,"8,732"
E02001825,"7,043"
E02001826,"7,146"
E06000008,"148,942"
E02002615,"10,146"
E02002616,"8,713"
E02002617,"9,213"
E02002618,"7,514"
E02002619,"8,908"
E02002620,"8,776"
E02002621,"8,543"
E02002622,"10,671"
E02002623,"10,334"
E02002624,"8,066"
E02002625,"9,665"
E02002626,"7,226"
E02002627,"7,737"
E02002628,"6,771"
E02002629,"5,680"
E02002630,"6,309"
E02002631,"8,452"
E02002632,"6,218"
E06000009,"139,305"
E02002633,"7,704"
E02002634,"7,948"
E02002635,"8,010"
E02002636,"8,202"
E02002637,"6,099"
E02002638,"6,084"
E02002639,"6,123"
E02002640,"6,723"
E02002641,"8,149"
E02002642,"7,006"
E02002643,"7,433"
E02002644,"7,723"
E02002645,"5,956"
E02002646,"6,849"
E02002647,"8,000"
E02002648,"7,276"
E02002649,"8,137"
E02002650,"7,986"
E02002651,"7,897"
E06000049,"380,790"
E02003853,"6,053"
E02003854,"6,308"
E02003855,"6,448"
E02003856,"10,806"
E02003857,"6,551"
E02003858,"6,962"
E02003859,"11,854"
E02003860,"7,135"
E02003861,"6,406"
E02003863,"6,758"
E02003862,"5,114"
E02003864,"8,290"
E02003865,"7,948"
E02003866,"5,889"
E02003867,"7,577"
E02003868,"8,301"
E02003869,"7,124"
E02003870,"10,386"
E02003871,"6,726"
E02003872,"9,538"
E02003873,"5,963"
E02003811,"6,463"
E02003812,"6,046"
E02003813,"6,146"
E02003814,"7,938"
E02003815,"7,156"
E02003816,"7,111"
E02003817,"6,888"
E02003818,"5,495"
E02003819,"6,009"
E02003820,"8,791"
E02003821,"5,354"
E02003822,"10,751"
E02003825,"6,394"
E02003826,"7,897"
E02003827,"9,624"
E02003828,"6,924"
E02003829,"5,746"
E02003830,"8,107"
E02003823,"6,529"
E02003831,"9,532"
E02003824,"5,365"
E02003832,"6,350"
E02003833,"6,075"
E02003834,"7,162"
E02003835,"7,777"
E02003836,"6,987"
E02003838,"6,740"
E02003837,"13,828"
E02003839,"7,083"
E02003840,"10,385"
E06000050,"340,502"
E02003841,"7,887"
E02003874,"9,279"
E02003875,"6,184"
E02003842,"5,364"
E02003843,"5,934"
E02003844,"6,564"
E02003845,"9,089"
E02003846,"6,892"
E02003847,"9,520"
E02003848,"5,044"
E02003849,"7,367"
E02003876,"5,414"
E02003850,"5,063"
E02003851,"5,590"
E02003877,"9,244"
E02003852,"6,470"
E02003878,"8,721"
E02003879,"8,331"
E02003880,"6,318"
E02003881,"5,924"
E02003882,"9,276"
E02003794,"8,729"
E02003883,"10,378"
E02003884,"8,403"
E02003795,"5,768"
E02003885,"5,920"
E02003796,"7,255"
E02003797,"10,183"
E02003798,"6,091"
E02003800,"6,832"
E02003799,"7,089"
E02003801,"6,856"
E02003802,"8,759"
E02003803,"9,894"
E02003886,"6,580"
E02003804,"6,590"
E02003887,"6,435"
E02003888,"6,382"
E02003805,"6,268"
E02003889,"5,677"
E02003806,"7,509"
E02003890,"6,308"
E02003807,"7,978"
E02003808,"6,484"
E02003891,"5,982"
E02003809,"7,818"
E02003810,"8,859"
E06000006,"128,432"
E02002574,"8,440"
E02002575,"9,750"
E02002576,"7,255"
E02002577,"7,633"
E02002578,"8,280"
E02002579,"7,823"
E02002580,"7,880"
E02002581,"7,277"
E02002582,"8,591"
E02002583,"7,462"
E02002584,"7,411"
E02002585,"10,572"
E02002586,"10,095"
E02002587,"6,580"
E02002588,"7,214"
E02002589,"6,169"
E06000007,"209,547"
E02002590,"7,273"
E02002591,"6,390"
E02002592,"6,425"
E02002593,"5,034"
E02002594,"5,249"
E02002595,"8,364"
E02002596,"8,058"
E02002597,"9,313"
E02002598,"9,875"
E02002599,"11,142"
E02002600,"8,883"
E02002601,"8,813"
E02002602,"8,181"
E02002603,"6,904"
E02002604,"7,327"
E02002605,"9,179"
E02002606,"11,784"
E02002607,"11,603"
E02002608,"8,234"
E02002609,"9,572"
E02002610,"12,682"
E02002611,"7,825"
E02002612,"9,174"
E02002613,"6,505"
E02002614,"5,758"
E07000026,"97,527"
E02003965,"11,102"
E02003966,"6,984"
E02003967,"8,423"
E02003968,"9,164"
E02003969,"6,640"
E02003970,"8,071"
E02003971,"7,846"
E02003972,"9,092"
E02003973,"8,645"
E02003974,"7,774"
E02003975,"7,091"
E02003976,"6,695"
E07000027,"67,137"
E02003977,"6,279"
E02003978,"5,633"
E02003979,"7,413"
E02003980,"6,518"
E02003981,"6,558"
E02003982,"7,593"
E02003983,"7,551"
E02003984,"6,531"
E02003985,"6,787"
E02003986,"6,274"
E07000028,"108,387"
E02003987,"5,999"
E02003988,"6,661"
E02003989,"7,131"
E02003990,"10,323"
E02003991,"7,503"
E02003992,"8,231"
E02003993,"8,675"
E02003994,"7,248"
E02003995,"9,780"
E02003996,"9,630"
E02003997,"9,567"
E02003998,"6,908"
E02003999,"10,731"
E07000029,"68,424"
E02004000,"5,150"
E02004001,"5,372"
E02004002,"9,941"
E02004003,"11,688"
E02004004,"9,898"
E02004005,"7,771"
E02004006,"8,701"
E02004007,"9,903"
E07000030,"52,881"
E02004008,"6,279"
E02004009,"6,197"
E02004010,"7,423"
E02004011,"9,969"
E02004012,"5,494"
E02004013,"9,838"
E02004014,"7,681"
E07000031,"104,532"
E02004015,"6,374"
E02004016,"8,314"
E02004017,"8,799"
E02004018,"8,490"
E02004019,"7,896"
E02004020,"8,700"
E02004021,"5,256"
E02004022,"5,451"
E02004023,"6,197"
E02004024,"7,240"
E02004025,"8,019"
E02004026,"8,067"
E02004027,"8,056"
E02004028,"7,673"
E08000001,"285,372"
E02000984,"7,571"
E02000985,"7,332"
