,cord,feature_type,BOROUGH,FEATURE_ID,SVDATE,SIG_HEAD,SIG_SEPARA,SIG_EARLY,SIG_TWOSTG,SIG_GATE,PHOTO1_URL,PHOTO2_URL,cord_X,cord_Y
0,"[-0.1755857349, 51.5396791863]",Point,Camden,RWG039736,2017-08-24,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039736_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039736_2.jpg,-0.1755857349, 51.5396791863
1,"[-0.1759533843, 51.5396826444]",Point,Camden,RWG039729,2017-07-06,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039729_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039729_2.jpg,-0.1759533843, 51.5396826444
2,"[-0.2247455377, 51.5052380151]",Point,Hammersmith & Fulham,RWG108125,2017-06-21,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG108125_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108125_2.jpg,-0.2247455377, 51.5052380151
3,"[-0.1526615341, 51.5437873193]",Point,Camden,RWG001914,2017-05-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG001914_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG001914_2.jpg,-0.1526615341, 51.5437873193
4,"[-0.1460845881, 51.5367136901]",Point,Camden,RWG001915,2017-05-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG001915_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG001915_2.jpg,-0.1460845881, 51.5367136901
5,"[-0.1746297091, 51.5434494805]",Point,Camden,RWG039732,2017-08-23,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039732_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039732_2.jpg,-0.1746297091, 51.5434494805
6,"[-0.1525601893, 51.5439217514]",Point,Camden,RWG001919,2017-05-06,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG001919_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG001919_2.jpg,-0.1525601893, 51.5439217514
7,"[-0.1461362355, 51.5366616362]",Point,Camden,RWG039728,2017-05-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039728_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039728_2.jpg,-0.1461362355, 51.5366616362
8,"[-0.175991955, 51.539642055]",Point,Camden,RWG039730,2017-07-06,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039730_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039730_2.jpg,-0.175991955, 51.539642055
9,"[-0.1525570803, 51.5438388387]",Point,Camden,RWG039731,2017-07-18,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039731_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039731_2.jpg,-0.1525570803, 51.5438388387
10,"[-0.2246363724, 51.5052629749]",Point,Hammersmith & Fulham,RWG108126,2017-06-21,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG108126_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108126_2.jpg,-0.2246363724, 51.5052629749
11,"[-0.224640167, 51.5052159758]",Point,Hammersmith & Fulham,RWG016929,2017-06-21,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016929_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016929_2.jpg,-0.224640167, 51.5052159758
12,"[-0.1526413261, 51.5438785205]",Point,Camden,RWG001920,2017-05-06,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG001920_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG001920_2.jpg,-0.1526413261, 51.5438785205
13,"[-0.174258405, 51.5121825631]",Point,Westminster,RWG016924,2017-10-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016924_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016924_2.jpg,-0.174258405, 51.5121825631
14,"[-0.1753478799, 51.512828804]",Point,Westminster,RWG016925,2017-06-21,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016925_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016925_2.jpg,-0.1753478799, 51.512828804
15,"[-0.1740654953, 51.5120051689]",Point,Westminster,RWG016923,2017-10-31,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016923_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016923_2.jpg,-0.1740654953, 51.5120051689
16,"[-0.1767473166, 51.5137407213]",Point,Westminster,RWG016919,2017-06-21,1,1,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016919_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016919_2.jpg,-0.1767473166, 51.5137407213
17,"[-0.1876351951, 51.5137378298]",Point,Westminster,RWG016915,2017-06-20,1,1,1,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG016915_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016915_2.jpg,-0.1876351951, 51.5137378298
18,"[-0.1755761065, 51.5395572232]",Point,Westminster,RWG039735,2017-08-24,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG039735_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG039735_2.jpg,-0.1755761065, 51.5395572232
19,"[-0.176660149, 51.5136711021]",Point,Westminster,RWG016920,2017-06-21,1,1,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016920_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016920_2.jpg,-0.176660149, 51.5136711021
20,"[-0.1767191108, 51.5247296726]",Point,Westminster,RWG016914,2017-06-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG016914_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG016914_2.jpg,-0.1767191108, 51.5247296726
